City,Location_Info,State,District,Subdistrict,Division,Union_Territory,Autonomous_Division
Delhi,"['Delhi', 'Indrajit Verma Marg', 'Rouse Avenue', 'Kotwali Tehsil', 'Central Delhi District', 'Delhi', '110002', 'India']",,Central Delhi District,,,,
Chennai,"['Chennai', 'Chennai District', 'Tamil Nadu', '600001', 'India']",,Chennai District,,,,
New Delhi,['Could not find data'],,,,,,
Aligarh,"['Aligarh', 'Aligarh District', 'Uttar Pradesh', 'India']",,Aligarh District,,,,
Ahmedabad,"['Ahmedabad', 'Ahmedabad City Taluka', 'Ahmedabad District', 'Gujarat', '380001', 'India']",,Ahmedabad District,,,,
Bombay,"['Mumbai City District', 'Maharashtra', 'India']",,Mumbai City District,,,,
Bengaluru,"['Bengaluru', 'Bangalore North', 'Bengaluru Urban District', 'Karnataka', 'India']",,Bengaluru Urban District,,,,
Lakhisar,['Could not find data'],,,,,,
Mysore,"['Mysuru', 'Mysuru taluk', 'Mysuru District', 'Karnataka', '570001', 'India']",,Mysuru District,,,,
Gwalior,"['Gwalior', 'Gird Tahsil', 'Gwalior District', 'Madhya Pradesh', '474001', 'India']",,Gwalior District,,,,
Ukai,"['Ukai', 'Songadh Taluka', 'Tapi District', 'Gujarat', '394680', 'India']",,Tapi District,,,,
Patna,"['Patna', 'Patna Rural', 'Patna District', 'Bihar', '800001', 'India']",,Patna District,,,,
Mumbai,"['Mumbai City District', 'Maharashtra', 'India']",,Mumbai City District,,,,
Karkardooma,['Could not find data'],,,,,,
Chandigarh,"['Ambala Chandigarh Expressway', 'Sadopur', 'Ambala Cantt', 'Ambala District', 'Haryana', '134001', 'India']",,Ambala District,,,,
Salem,"['Salem', 'Salem District', 'Tamil Nadu', 'India']",,Salem District,,,,
Bellary,"['Ballari', 'Bellary taluk', 'Ballari District', 'Karnataka', '583101', 'India']",,Ballari District,,,,
Ranchi,"['Ranchi', 'Kanke', 'Ranchi District', 'Jharkhand', '834001', 'India']",,Ranchi District,,,,
Rohini Courts,['Could not find data'],,,,,,
Jodhpur,"['Jodhpur', 'Jodhpur Tehsil', 'Jodhpur District', 'Rajasthan', 'India']",,Jodhpur District,,,,
Bhavani,"['Bhavani', 'Erode District', 'Tamil Nadu', 'India']",,Erode District,,,,
Jaipur,"['Jaipur', 'Jaipur Municipal Corporation', 'Jaipur Tehsil', 'Jaipur District', 'Rajasthan', '302001', 'India']",,Jaipur District,,,,
Dharwad,"['Dharwad', 'Dharawada taluku', 'Dharwad District', 'Karnataka', '580001', 'India']",,Dharwad District,,,,
Hyderabad,"['Hyderabad', 'Bahadurpura mandal', 'Hyderabad District', 'Telangana', 'India']",,Hyderabad District,,,,
