="",="(1)",="(2)",="(3)",="(4)"
="",="green_verdict",="green_verdict",="green_verdict",="green_verdict"
="length_of_case",="0.00000369",="0.00000330",="0.00000783",="0.00000368"
="",="(0.00000406)",="(0.00000433)",="(0.00000563)",="(0.00000406)"
="num_titles_cited",="0.00708*",="0.00756*",="0.00460",="0.00703*"
="",="(0.00326)",="(0.00319)",="(0.00452)",="(0.00327)"
="no_of_judges",="0.0870*",="0.0885*",="0.113**",="0.0851*"
="",="(0.0333)",="(0.0351)",="(0.0393)",="(0.0335)"
="water_cases",="0.0275",="0.0366",="0.0415",="0.0265"
="",="(0.0430)",="(0.0393)",="(0.0463)",="(0.0440)"
="Sample",="full",="drop under 300",="e-relevance",="both"
="State FE",="yes",="yes",="yes",="yes"
="District FE",="yes",="yes",="yes",="yes"
="Case Year FE",="yes",="yes",="yes",="yes"
=" N",="716",="693",="462",="709"
="Adj. R-squared",="0.0954",="0.0962",="0.0730",="0.0937"
="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
