="",="(1)",="(2)",="(3)",="(4)"
="",="green_verdict_human",="green_verdict_human",="green_verdict_human",="green_verdict_human"
="length_of_case",="0.00000589*",="0.00000586*",="0.00000708**",="0.00000587*"
="",="(0.00000259)",="(0.00000267)",="(0.00000222)",="(0.00000258)"
="num_titles_cited",="0.00486*",="0.00509*",="0.00367",="0.00484*"
="",="(0.00223)",="(0.00222)",="(0.00242)",="(0.00223)"
="no_of_judges",="0.0623*",="0.0627",="0.0839*",="0.0604"
="",="(0.0314)",="(0.0326)",="(0.0396)",="(0.0316)"
="water_cases",="0.0362",="0.0458",="0.0510",="0.0350"
="",="(0.0404)",="(0.0368)",="(0.0433)",="(0.0411)"
="Sample",="full",="drop under 300",="e-relevance",="both"
="State FE",="yes",="yes",="yes",="yes"
="District FE",="yes",="yes",="yes",="yes"
="Case Year FE",="yes",="yes",="yes",="yes"
=" N",="758",="735",="502",="751"
="Adj. R-squared",="0.115",="0.116",="0.0987",="0.114"
="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
