="",="(1)",="(2)",="(3)",="(4)"
="",="mismatch",="mismatch",="mismatch",="mismatch"
="length_of_case",="-0.0000106*",="-0.00000998",="-0.00000645",="-0.00000688"
="",="(0.00000473)",="(0.00000590)",="(0.00000449)",="(0.00000597)"
="num_titles_cited",="0.00439",="0.00477",="0.00310",="0.00366"
="",="(0.00274)",="(0.00341)",="(0.00291)",="(0.00321)"
="no_of_judges",="-0.0512",="-0.0312",="-0.0554",="-0.0138"
="",="(0.0386)",="(0.0538)",="(0.0333)",="(0.0486)"
="water_cases",="-0.0125",="0.0411",="0.00763",="0.0778"
="",="(0.0401)",="(0.0742)",="(0.0342)",="(0.0680)"
="pcb_action",="0.159**",="0.0613",="0.0879",="-0.000615"
="",="(0.0604)",="(0.0922)",="(0.0534)",="(0.0713)"
="env_relevance",="0.00744***",="0.00923***",="0.00136",="0.000147"
="",="(0.000890)",="(0.00142)",="(0.00120)",="(0.00207)"
="regulator_action",="-0.0333",="-0.0205",="-0.0874",="-0.0507"
="",="(0.0727)",="(0.101)",="(0.0613)",="(0.0830)"
="follow",="-0.00379",="0.0753",="0.0100",="0.0399"
="",="(0.0936)",="(0.138)",="(0.0980)",="(0.150)"
="5.actid_1",="",="-0.334",="",="-0.424"
="",="",="(0.242)",="",="(0.247)"
="6.actid_1",="",="0.0106",="",="-0.272"
="",="",="(0.313)",="",="(0.330)"
="10.actid_1",="",="0.0802",="",="0.0742"
="",="",="(0.103)",="",="(0.122)"
="12.actid_1",="",="-0.440*",="",="-0.166"
="",="",="(0.188)",="",="(0.140)"
="13.actid_1",="",="-0.0414",="",="-0.0304"
="",="",="(0.121)",="",="(0.129)"
="green_verdict_gpt",="",="",="0.461***",="0.578***"
="",="",="",="(0.0601)",="(0.0695)"
="N",="715",="356",="715",="356"
="adj. R-sq",="0.161",="0.058",="0.271",="0.236"
="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
